Country,Capital,Latitude,Longitude,Population,real_population,,,,,,,
Ethiopia,Addis Ababa,9.0333,38.7,"3,102",3102000,yes,"3,102",Ethiopia,Addis Ababa,,,
Falkland Islands (Malvinas),Stanley,-51.6667,-59.85,2,2000,yes,2,Falkland Islands (Malvinas),"Stanley, Falkland Islands",,,
Faroe Islands,Torshavn,62.0833,-6.9333,20,20000,yes,20,Faroe Islands,Tórshavn,,,
Fiji,Suva,-18.1,178.5,224,224000,yes,224,Fiji,Greater Suva,,,
Finland,Helsinki,60.25,25.05,"1,115",1115000,yes,"1,115",Finland,Helsinki,,,
France,Paris,48.8333,2.3333,"9,902",9902000,yes,"9,902",France,Paris,,,
French Guiana,Cayenne,5.0833,-52.3,63,63000,yes,63,French Guiana,Cayenne,,,
French Polynesia,Papeete,-17.5333,-149.5667,131,131000,yes,131,French Polynesia,Papeete,,,
Gabon,Libreville,0.4167,9.4333,576,576000,yes,576,Gabon,Libreville,,,
Gambia,Banjul,13.4667,-16.6667,407,407000,yes,407,Gambia,Banjul,,,
Georgia,Tbilisi,41.7167,44.8333,"1,099",1099000,yes,"1,099",Georgia,Tbilisi,,,
Germany,Berlin,52.5,13.4167,"3,405",3405000,yes,"3,405",Germany,Berlin,,,
Ghana,Accra,5.5833,-0.1,"2,120",2120000,yes,"2,120",Ghana,Accra,,,
Greece,Athens,37.9667,23.7667,"3,242",3242000,yes,"3,242",Greece,Athens,,,
Greenland,Nuuk,64.1667,-51.5833,15,15000,yes,15,Greenland,Nuuk,,,
Guadeloupe,Basse-Terre,16,-61.7333,12,12000,yes,12,Guadeloupe,Basse-Terre,,,
Guatemala,Guatemala,14.6667,-90.3667,"1,025",1025000,yes,"1,025",Guatemala,Guatemala City,,,
Guinea,Conakry,9.4833,-13.8167,"1,494",1494000,yes,"1,494",Guinea,Conakry,,,
Guinea-Bissau,Bissau,11.75,-15.75,330,330000,yes,330,Guinea-Bissau,Bissau,,,
Guyana,Georgetown,6.8333,-58.2,133,133000,yes,133,Guyana,"Georgetown, Guyana",,,
Haiti,Port-au-Prince,18.6667,-72.3333,"2,002",2002000,yes,"2,002",Haiti,Port-au-Prince,,,
Honduras,Tegucigalpa,14.0833,-87.2333,947,947000,yes,947,Honduras,Tegucigalpa,,,
Hungary,Budapest,47.4833,19.0833,"1,675",1675000,yes,"1,675",Hungary,Budapest,,,
Iceland,Reykjavik,64.1667,-21.95,192,192000,yes,192,Iceland,Reykjavík,,,
India,New Delhi,28.6167,77.2167,"15,915",15915000,yes,"15,915",India,Delhi,,,
Indonesia,Jakarta,-6.15,106.8167,"9,143",9143000,yes,"9,143",Indonesia,Jakarta,,,
Iran,Tehran,35.7333,51.5,"7,875",7875000,yes,"7,875",Iran,Tehran,,,
